"Source:","/Users/michalka/Developer/electronics/CCLoad/CCLoad.sch"
"Date:","2019 November 26, Tuesday 13:17:44"

"Component Count:","36"

"Comment","Designator","Footprint","LCSC Part #"
"Battery_Cell:Battery_Cell:Battery:BatteryHolder_Keystone_1060_1x2032","BT101","SMD-BAT-CR2032-BS-6-1","C70377"
"C:1uF:Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C101, C104","0805","C28323"
"CP:10uF:Capacitor_Tantalum_SMD:CP_EIA-3216-12_Kemet-S_Pad1.58x1.35mm_HandSolder","C102, C103","CASE-A_3216","C7171"
"C:100nF:Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","C105","0805","C49678"
"LED:LED:LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","D101","LED_0805","C84256"
"Conn_01x01_Female:BANANA:CCLoad:Binding_Post_Caltest_CT2234","J101, J102","",""
"Conn_01x02_Male:MOLEX:Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","J103, J106","",""
"Conn_01x03_Male:BTS117:CCLoad:BTS117_outboard","J104","",""
"Conn_01x02_Female:SCREW_TERMINAL:Connector_Molex:Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","J105","",""
"R:162k:Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","R101","0805",""
"R:330R:Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","R102","0805","C17630"
"R:82k:Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","R103","0805","C17840"
"R:100R:Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","R104, R107","0805","C17408"
"R:0R:Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","R105","0805","C17477"
"R:0.05R:Resistor_SMD:R_2512_6332Metric_Pad1.52x3.35mm_HandSolder","R106","",""
"R:10k:Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","R108, R109","0805",""
"R_POT:10k:Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","RV101","",""
"R_POT:1k:Potentiometer_SMD:Potentiometer_Bourns_3314J_Vertical","RV102","",""
"SW_DP3T:SW_DP3T:CCLoad:SW_DP3T_ALPS_SSSS223600","SW101","",""
"LM2936-3.0:HT7533-1 (3V3):Package_TO_SOT_SMD:SOT-89-3_Handsoldering","U101","",""
"TL432DBZ:CJ431:Package_TO_SOT_SMD:SOT-23","U102","",""
"MCP6002-xP:MCP6002-xP:Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","U103","",""
